grid,laps,points,milliseconds,fastestLapSpeed,fastestLapTime,rank,year,round,constructorId,circuitId,podium_finish
1,58,10.0,5690616,218.300,1:27.452,2,2008,1,1,1,1
5,58,8.0,5696094,217.586,1:27.739,3,2008,1,2,1,1
7,58,6.0,5698779,216.719,1:28.090,5,2008,1,3,1,1
11,58,5.0,5707797,215.464,1:28.603,7,2008,1,4,1,0
3,58,4.0,5708630,218.385,1:27.418,1,2008,1,1,1,0
13,57,3.0,\N,212.974,1:29.639,14,2008,1,3,1,0
17,55,2.0,\N,213.224,1:29.534,8,2008,1,5,1,0
15,53,1.0,\N,217.180,1:27.903,4,2008,1,6,1,0
2,47,0.0,\N,215.100,1:28.753,9,2008,1,2,1,0
18,43,0.0,\N,213.166,1:29.558,13,2008,1,7,1,0
19,32,0.0,\N,210.038,1:30.892,15,2008,1,8,1,0
20,30,0.0,\N,208.907,1:31.384,16,2008,1,4,1,0
4,29,0.0,\N,216.510,1:28.175,6,2008,1,6,1,0
8,25,0.0,\N,213.300,1:29.502,11,2008,1,9,1,0
6,19,0.0,\N,213.758,1:29.310,10,2008,1,7,1,0
22,8,0.0,\N,207.461,1:32.021,17,2008,1,10,1,0
14,0,0.0,\N,\N,\N,\N,2008,1,9,1,0
12,0,0.0,\N,\N,\N,\N,2008,1,11,1,0
21,0,0.0,\N,\N,\N,\N,2008,1,8,1,0
9,0,0.0,\N,\N,\N,\N,2008,1,5,1,0
16,0,0.0,\N,\N,\N,\N,2008,1,10,1,0
10,58,0.0,\N,215.141,1:28.736,8,2008,1,11,1,0
2,56,10.0,5478555,209.158,1:35.405,2,2008,2,6,2,1
4,56,8.0,5498125,208.033,1:35.921,6,2008,2,2,2,1
8,56,6.0,5517005,208.031,1:35.922,7,2008,2,1,2,1
3,56,5.0,5524387,207.715,1:36.068,8,2008,2,7,2,0
9,56,4.0,5525103,209.033,1:35.462,3,2008,2,1,2,0
5,56,3.0,5528388,209.244,1:35.366,1,2008,2,2,2,0
6,56,2.0,5546685,206.366,1:36.696,12,2008,2,9,2,0
7,56,1.0,5548596,207.240,1:36.288,10,2008,2,4,2,0
12,56,0.0,5554775,207.417,1:36.206,9,2008,2,9,2,0
11,56,0.0,5564769,208.481,1:35.715,4,2008,2,11,2,0
13,56,0.0,5570757,205.812,1:36.956,15,2008,2,4,2,0
17,55,0.0,\N,205.800,1:36.962,16,2008,2,10,2,0
14,55,0.0,\N,206.372,1:36.693,11,2008,2,11,2,0
16,55,0.0,\N,206.182,1:36.782,13,2008,2,3,2,0
21,55,0.0,\N,203.265,1:38.171,18,2008,2,8,2,0
19,54,0.0,\N,202.578,1:38.504,19,2008,2,8,2,0
22,54,0.0,\N,204.222,1:37.711,17,2008,2,3,2,0
15,39,0.0,\N,205.995,1:36.870,14,2008,2,5,2,0
1,30,0.0,\N,208.048,1:35.914,5,2008,2,6,2,0
20,5,0.0,\N,198.891,1:40.330,20,2008,2,10,2,0
10,1,0.0,\N,\N,\N,\N,2008,2,7,2,0
18,0,0.0,\N,\N,\N,\N,2008,2,5,2,0
2,57,10.0,5466970,208.153,1:33.600,3,2008,3,6,3,1
4,57,8.0,5470309,207.911,1:33.709,4,2008,3,6,3,1
1,57,6.0,5471968,207.765,1:33.775,5,2008,3,2,3,1
6,57,5.0,5475379,208.231,1:33.565,2,2008,3,2,3,0
5,57,4.0,5493759,209.062,1:33.193,1,2008,3,1,3,0
7,57,3.0,5508284,206.819,1:34.204,7,2008,3,7,3,0
11,57,2.0,5512443,206.597,1:34.305,8,2008,3,9,3,0
8,57,1.0,5522859,207.109,1:34.072,6,2008,3,3,3,0
13,57,0.0,5536470,205.503,1:34.807,9,2008,3,7,3,0
10,57,0.0,5544151,204.668,1:35.194,13,2008,3,4,3,0
12,57,0.0,5544832,205.399,1:34.855,10,2008,3,11,3,0
18,56,0.0,\N,204.963,1:35.057,11,2008,3,10,3,0
3,56,0.0,\N,203.969,1:35.520,19,2008,3,1,3,0
16,56,0.0,\N,204.155,1:35.433,17,2008,3,3,3,0
15,56,0.0,\N,204.369,1:35.333,15,2008,3,5,3,0
21,56,0.0,\N,204.389,1:35.324,14,2008,3,8,3,0
22,56,0.0,\N,203.180,1:35.891,20,2008,3,8,3,0
17,56,0.0,\N,204.331,1:35.351,16,2008,3,9,3,0
20,56,0.0,\N,204.136,1:35.442,18,2008,3,10,3,0
14,40,0.0,\N,204.808,1:35.129,12,2008,3,4,3,0
9,19,0.0,\N,202.686,1:36.125,21,2008,3,11,3,0
19,0,0.0,\N,\N,\N,\N,2008,3,5,3,0
1,66,10.0,5899051,205.191,1:21.670,1,2008,4,6,4,1
3,66,8.0,5902279,204.863,1:21.801,2,2008,4,6,4,1
5,66,6.0,5903238,204.323,1:22.017,3,2008,4,1,4,1
4,66,5.0,5904745,204.102,1:22.106,4,2008,4,2,4,0
7,66,4.0,5934989,202.969,1:22.564,8,2008,4,9,4,0
13,66,3.0,5952061,203.489,1:22.353,5,2008,4,11,4,0
12,66,2.0,5957295,200.576,1:23.549,15,2008,4,3,4,0
8,66,1.0,5958486,202.494,1:22.758,10,2008,4,7,4,0
9,66,0.0,5962124,203.080,1:22.519,7,2008,4,2,4,0
19,65,0.0,\N,200.841,1:23.439,14,2008,4,10,4,0
14,65,0.0,\N,201.886,1:23.007,12,2008,4,7,4,0
17,65,0.0,\N,202.288,1:22.842,11,2008,4,9,4,0
22,65,0.0,\N,198.045,1:24.617,17,2008,4,8,4,0
15,41,0.0,\N,201.130,1:23.319,13,2008,4,3,4,0
2,34,0.0,\N,202.677,1:22.683,9,2008,4,4,4,0
11,34,0.0,\N,199.837,1:23.858,16,2008,4,11,4,0
6,21,0.0,\N,203.243,1:22.453,6,2008,4,1,4,0
21,8,0.0,\N,192.922,1:26.864,20,2008,4,8,4,0
16,7,0.0,\N,194.862,1:25.999,19,2008,4,5,4,0
10,6,0.0,\N,196.128,1:25.444,18,2008,4,4,4,0
20,0,0.0,\N,\N,\N,\N,2008,4,10,4,0
18,0,0.0,\N,\N,\N,\N,2008,4,5,4,0
1,58,10.0,5209451,221.734,1:26.666,3,2008,5,6,5,1
3,58,8.0,5213230,222.085,1:26.529,2,2008,5,1,5,1
4,58,6.0,5213722,222.144,1:26.506,1,2008,5,6,5,1
