grid,laps,year,round,driver_age,driver_experience,constructor_experience,constructorId,circuitId,avg_grid_last_5_cat,avg_finish_last_5_cat,podium_finish
26,20,1989,15,33,86,589,25,22,back,weak,0
3,78,2024,8,30,191,2405,6,6,front,strong,1
22,46,1997,16,31,50,849,25,22,back,weak,0
2,77,1974,3,30,28,112,63,30,back,weak,0
4,32,2005,8,32,149,348,4,7,mid,weak,0
0,0,1968,3,38,92,7,194,6,back,weak,0
0,0,1974,7,30,3,37,80,47,back,weak,0
1,30,1961,3,34,22,393,6,13,front,strong,1
0,0,1976,5,31,100,7,59,40,back,weak,0
16,52,2013,8,24,7,1198,3,9,back,weak,0
10,98,1961,8,31,36,38,95,46,mid,weak,0
19,78,1975,7,29,3,24,64,47,back,weak,0
0,0,1991,6,28,5,427,27,32,back,weak,0
10,53,2002,2,36,95,2,7,2,back,weak,0
0,22,2023,16,23,15,1616,3,22,back,weak,0
8,8,1999,9,24,41,703,3,70,back,average,0
13,57,1994,3,35,124,774,1,21,back,weak,0
18,59,1978,15,29,22,299,1,46,back,weak,0
22,58,1971,11,32,4,27,1,46,back,average,0
10,43,1981,11,27,62,107,21,70,back,weak,0
7,14,1977,7,35,73,769,6,40,mid,weak,0
4,56,2009,3,37,273,5,23,17,mid,average,0
14,69,2018,19,29,22,489,5,32,back,weak,0
15,61,1963,9,28,11,46,176,32,back,average,0
20,0,1997,1,37,73,401,21,1,mid,average,0
17,52,2024,16,26,159,174,117,14,back,weak,0
15,1,1970,4,29,3,31,34,13,back,weak,0
20,39,1980,9,34,102,350,1,10,back,weak,0
21,16,1973,5,32,25,8,80,40,back,weak,0
10,0,2009,13,33,135,168,9,14,mid,average,0
2,53,2021,15,27,133,2287,6,71,mid,average,1
18,25,1999,13,23,9,25,16,14,back,weak,0
5,29,2000,6,25,54,730,3,20,mid,average,0
20,60,2000,3,25,2,471,18,21,back,weak,0
2,78,2017,6,30,184,2112,6,6,front,strong,1
17,53,2022,16,23,37,275,210,14,back,weak,0
21,7,1986,11,28,12,261,21,11,back,weak,0
7,22,1986,10,32,138,500,34,10,back,weak,0
6,0,2015,15,28,91,290,10,71,mid,weak,0
19,9,2005,18,31,147,136,7,22,mid,weak,0
1,44,2014,12,29,158,219,131,13,front,average,1
7,53,2011,15,25,35,501,15,22,back,weak,0
17,47,2020,13,28,115,191,210,21,back,weak,0
1,75,1959,3,29,15,41,66,39,mid,average,1
15,58,2009,1,36,214,37,10,1,back,weak,0
5,40,2004,2,25,51,1101,1,2,mid,average,0
16,58,1995,10,29,11,770,25,11,back,weak,0
12,71,2000,9,34,85,243,15,8,back,weak,0
12,35,2015,8,21,7,347,5,70,mid,weak,0
19,75,1963,3,29,23,73,95,39,back,weak,0
4,71,2010,18,25,69,1347,1,18,front,weak,0
19,47,1995,2,35,83,548,27,25,back,weak,0
19,56,2009,11,19,1,127,5,12,back,weak,0
4,58,2007,1,22,0,1209,1,1,front,strong,1
20,12,1989,11,30,68,565,34,13,back,weak,0
5,0,1987,14,32,120,571,1,32,mid,average,0
19,54,2007,15,28,17,65,8,16,back,weak,0
13,70,1959,8,42,58,41,170,14,mid,average,0
14,69,2008,11,23,45,1017,3,11,back,weak,0
20,55,2003,2,28,1,397,17,2,back,weak,0
21,49,1999,2,28,50,2,16,18,mid,weak,0
13,43,1987,9,28,99,529,34,11,back,weak,0
21,1,1995,16,36,72,31,28,22,back,weak,0
6,56,1989,10,30,76,1144,6,11,front,weak,0
13,30,1963,2,33,46,188,170,13,mid,average,0
7,64,1999,5,27,102,74,24,4,front,weak,0
12,16,1978,2,28,69,43,59,36,back,average,0
15,79,1954,2,36,4,97,113,19,back,weak,0
24,4,1954,5,40,11,38,87,9,back,weak,0
13,56,2010,3,22,19,144,5,2,back,weak,0
1,46,1956,8,26,15,265,6,14,front,weak,0
4,80,1969,1,30,39,17,196,30,mid,strong,1
18,80,1974,5,37,11,45,58,50,back,weak,0
8,58,2008,5,34,188,219,7,5,mid,average,0
8,56,2007,16,30,131,66,2,17,mid,average,0
12,65,1968,12,28,27,307,66,32,back,average,0
9,27,2002,17,31,115,132,16,22,mid,weak,0
22,14,1986,7,34,54,149,45,37,back,weak,0
9,52,2017,16,25,16,1616,1,22,back,weak,0
6,57,1989,2,32,91,367,3,21,mid,average,0
10,45,2000,11,35,106,20,19,10,mid,weak,0
24,5,1990,14,27,46,604,34,26,back,weak,0
17,64,2017,5,26,25,638,4,4,back,weak,0
15,68,1957,4,25,0,48,87,53,back,average,0
2,56,2018,3,39,275,2145,6,17,front,average,1
20,71,1974,3,38,11,96,1,30,back,weak,0
2,6,1985,15,33,109,478,34,30,front,weak,0
6,6,1999,10,27,107,84,24,10,front,weak,0
